A	một
Bagpipes	kèn túi (của những người chăn cừu ở ê-ãcốt)
Baguette	đường đắp nhỏ
Bail	(pháp lý) tiền bảo lãnh
Bailable	(pháp lý) có thể cho tạm tự do ở ngoài với điều kiện nộp tiền bảo lãnh
Bailer	gàu tát nước
Bailey	tường ngoài (lâu đài)
Bailiff	quan khâm sai (của vua anh ở một vùng)
Bailiwick	địa hạt (của) quan khâm sai
Baillee	người nhận hàng hoá gửi để bảo quản
Bailment	sự ký gửi hàng hoá
Bailor	người ký gửi hàng hoá
Bailout	(kinh tế) sự cứu giúp ra khỏi những khó khăn về tài chính
Bailsman	người đứng ra bảo lãnh (cho ai), người nộp tiền bảo lãnh (cho ai)
Bairn	(ê-cốt) đứa bé
Baiting place	quán trọ dọc đường
Baize	vải len tuyết dài (để bọc bàn ghế)
Bake	nướng, hấp hoặc hầm
Bakehouse	lò bánh mì
Bakelite	bakêlit nhựa tổng hợp
Bakelized	(tech) được tẩm bakêlit (nhựa)
Baker	người làm bánh mì
Bakery	lò bánh mì
Bakestone	cái lót bánh mì (trong lò)
Baking	sự nướng (bánh...)
Baksheesh	(ở vùng trung đông) tiền làm quà hoặc để giúp người nghèo khó
Balaam	người đoán láo
Balaclava	loại mũ khít đầu và cổ, chỉ để hở mặt
Balalaika	(âm nhạc) đàn balalaica
Balance	cân đối
Balance control	(tech) điều chỉnh cân bằng
Balance of payment	(econ) cán cân thanh toán.
Balance of trade	(econ) cán cân thương mại.
Balance principle	(econ) nguyên lý cân đối.
Balance sheet	(econ) bảng cân đối tài sản.
Balanced	cân bằng
Balanced (gdp)	(econ) (gdp) được cân đối.
Balanced load	(tech) tải cân bằng, tải đối xứng
Balanced state	(tech) trạng thái cân bằng
Balancer	con lắc
Balancing	(tech) làm cân bằng
Balancing weight	(tech) trọng lượng cân bằng, đối trọng
Balanitis	(y học) chứng viêm quy đầu
Balante	số nhiều balantes
Balas	(khoáng chất) xpinen đỏ
Balata	balata (nhựa lấy ở cây dùng làm chất cáh điện)
Balayage	sự quyết
Balboa	đồng banboa (tiền pa-na-ma)
Balbriggan	vải bông dùng may quần áo lót hoặc quần áo dệt kim
Bald	hói (đầu)
Bald cypress	(thực vật học) cây bụt mọc
Bald eagle	đại bàng trắng tượng trưng cho nước mỹ
Baldachin	màn treo, trướng (trên bàn thờ)
Baldaquin	màn treo, trướng (trên bàn thờ)
Balderdash	lời nói vô nghĩa không ra đầu vào đâu
Baldicoot	(động vật học) chim sâm cầm
Baldie	(thông tục) người hói đầu
Balding	bắt đầu hói
Baldly	không màu mè, không che đậy
Baldness	tình trạng hói đầu
Baldric	dây gươm chéo qua vai
Bale	kiện (hàng...)
Baleen	tấm sừng hàm (ở cá voi)
Baleful	(thơ ca) tai hoạ, xấu, rủi, không may, gở
Balefully	độc địa, tai hại
Balefulness	xem baleful
Baler	xem bale
Balk	vật chướng ngại
Balkanization	sự phân chia đất nước thành nhiều vùng thù địch lẫn nhau (để dễ cai trị)
Balkanize	phân chia (một đất nước) thành nhiều vùng thù địch lẫn nhau (để dễ cai trị)
Balker	xem balk
Balky	bướng bỉnh (động vật)
Ball	trái bóng
Ball and socket	(kỹ thuật) bản lề hình cầu
Ball game	bất cứ trò chơi nào dùng đến bóng
Ball point mouse	(tech) con chuột điểm cầu
Ball printer	(tech) máy in trái cầu
Ballad	khúc balat, bài ca balat
Ballade	thơ balat
Balladic	xem ballad
Ballast	bì, đồ dằn (vật nặng để giữ cho tàu, thuyền thăng bằng khi không có hàng)
Ballast resistor	(tech) cái điện trở ổn dòng
Ballastron	(tech) barête (ống ổn dòng)
Ballboy	trẻ con nhặt bóng cho người chơi quần vợt
Ballcock	phao dùng để điều chỉnh mực nước trong bể chứa
Ballerina	nữ diễn viên ba lê, nữ diễn viên kịch múa
Ballet	ba lê, kịch múa
Balletomane	người nghiện balê
Balletomania	sự nghiện balê
Ballgirl	trẻ con nhặt bóng cho người chơi quần vợt
Ballista	số nhiều ballistae
Ballistic	(quân sự) (thuộc) đạn đạo học, (thuộc) khoa đường đạn
Ballistic method	(tech) phương pháp đạn đạo
Ballistic missile	(quân sự) tên lừa đảo theo đường đạn
Ballistician	(quân sự) chuyên gia đường đạn
Ballistics	(quân sự) đạn đạo học, khoa đường đạn
Ballistocardiogram	kết quả do tâm thân động ký ghi
Ballitocardiography	khoa tâm thân động ký
Ballocks	<snh> tinh hoàn
Balloon	quả bóng bay
Balloon antenna	(tech) ăngten bong bóng, ăngten khí cầu
Balloon barrage	hàng rào bóng phòng không
Balloon tire	lớp ba lông (ôtô...)
Balloon vine	(thực vật học) dây tấm phông
Ballooner	người cưỡi khí cầu
Balloonist	người cưỡi khí cầu
Ballot	phiếu
Balloter	xem ballot
Ballpark	sân chơi bóng chày
Ballpoint	bút bi
Ballroom	phòng khiêu vũ
Ballroom dance	diệu vũ phòng nhẩy
Ballroom dancing	một kiểu khiêu vũ theo những nhịp điệu quy ước
Bally	(từ lóng) khỉ gió, chết tiệt (diễn tả sự bực mình hoặc thích thú)
Ballyhoo	(từ mỹ,nghĩa mỹ) sự quảng cáo rùm beng
Ballyrag	(từ lóng) chơi xỏ
Balm	nhựa thơm, bôm
Balmily	thơm, thơm ngát
Balminess	sự thơm, sự thơm ngát
Balmy	thơm, thơm ngát
Balneology	(y học) khoa tẩm ngâm, thuỷ lý học
Baloney	chuyện vô lý, chuyện vớ vẩn
Balsa	loại gỗ nhẹ dùng làm hình mẫu, bè
Balsam	nhựa, thơm, bôm
Balsamic	có chất nhựa thơm
Balsaminaceous	(thực vật học) (thuộc) họ bóng nước
Baltic	thuộc biển ban-tích
Balun	(tech) bộ biến thế cân bằng (từ vào đối xứng ra không đối xứng)
Baluster	lan can
Balustrade	hàng lan can, hàng chấn song bao lơn
Bam	(từ cổ,nghĩa cổ),  (từ lóng) sự lừa bịp, sự đánh lừa
Bambino	số nhiều bambinos,  bambini
Bamboo	cây tre
Bamboozle	(từ lóng) bịp, lừa bịp
Bamboozlement	(từ lóng) sự bịp, sự lừa bịp
Bamboozler	(từ lóng) kẻ bịp, kẻ lừa bịp
Bameal	thuộc việc tắm rửa
Ban	lệnh cấm
Banal	thường, tầm thường
Banality	tính chất tầm thường
Banalize	xem banal
Banally	xem banal
Banana	trái chuối
Banana oil	dầu chuối
Banana plug	(tech) phích chuối
Band	ban nhạc
Band filter	(tech) bộ lọc dải
Band printer	(tech) máy in băng
Band selector	(tech) bộ chọn dải sóng
Band separator	(tech) bộ phân chia dải
Band switch	(tech) cái chuyển băng
Band theory	(tech) lý thuyết dải năng lượng
Bandage	băng (để băng vết thương, bịt mắt...)|*  ngoại động từ
Bandager	xem bandage
Bandaid	một loại cao dán
Bandana	khăn rằn, khăn tay lớn in hoa sặc sỡ
Bandanna	khăn rằn, khăn tay lớn in hoa sặc sỡ
Bandbox	hộp bìa cứng
Bandeau	dải buộc tóc (phụ nữ)
Bandeaux	dải buộc tóc (phụ nữ)
Banded	đầu thắt giải buộc
Banderilla	cái lao (dùng trong cuộc đấu bò rừng)
Banderillero	số nhiều banderilleros
Banderol	băng biểu ngữ
Banderole	băng biểu ngữ
Bandfish	(động vật) cá giao đỏ (nhật)
Bandicoot	(động vật học) chuột gộc (ân-độ)
Bandit	kẻ cướp
Banditry	nghề ăn cướp, trò ăn cướp
Banditti	kẻ cướp
Bandleader	ngưởi chỉ huy dàn nhạc nhỏ, thường chơi nhạc nhẹ
Bandmaster	nhạc trưởng, người chỉ huy dàn nhạc
Bandog	chó bị xích
Bandoleer	đeo súng (có ổ gài đạn)
Bandolier	đeo súng (có ổ gài đạn)
Bandoline	gôm chải tóc
Bandsman	nhạc sĩ dàn nhạc
Bandstand	bục dàn nhạc
Bandwagon	xe chở dàn nhạc đi diễu hành
Bane	nguyên nhân suy sụp
Baneberry	loại cây có mùi thum thủm (họ cây mao lương hoa vàng)
Baneful	tai hại, xấu
Banefully	tai hại, xấu xa
Banefulness	tính chất tai hại, tính chất xấu
Bang	tóc cắt ngang trán
Banger	xúc xích
Bangle	vòng (đeo cổ tay, cổ chân)
Bangled	có đeo vòng (cổ tay, cổ chân)
Bangy	(từ mỹ,nghĩa mỹ),  (thông tục) (như) bang-up
Banian	nhà buôn người ân
Banian day	(hàng hải) ngày ăn không có thịt
Banish	đày đi, trục xuất
Banisher	xem banish
Banishment	sự đày, sự trục xuất
Banister	lan can
Banjo	(âm nhạc) đàn banjô
Banjoist	người chơi đàn banjô
Bank	ngân hàng
Bank account	tài khoản ngân hàng
Bank advance	(econ) khoản vay ngân hàng.
Bank bill	(econ) hối phiếu ngân hàng.
Bankable	có thể gửi ở ngân hàng
Banker	chủ ngân hàng
Banking	ngân hàng
Banking system	(tech) hệ thống ngân hàng
Banknote	giấy bạc
Bankroll	(từ mỹ) nguồn cung cấp tiền
Bankrupt	người vỡ nợ, người phá sản
Bankruptcy	sự vỡ nợ, sự phá sản
Bankruptive	xem bankrupt
Banks' cash	tỷ số giữa tiền mặt và tiền gửi của ngân hàng.
Banksman	cai mỏ ở tầng lộ thiên
Banner	ngọn cờ
Banner headline	(từ mỹ,nghĩa mỹ) đầu đề chữ lớn suốt mặt trang báo
Banner page	(tech) trang tiêu đề
Banneret	(thường) viết hoa hiệp sĩ được trao nhiệm vụ dẫn quân xung trận dưới lá cờ của mình
Bannock	bánh mì không men
Banns	sự công bố hôn nhân ở nhà thờ
Banqueter	người dự tiệc lớn
Banquette	(quân sự) chỗ đứng bắn (trong thành luỹ)
Banshee	(thần thoại,thần học) (ê-cốt) nữ thần báo tử
Bantam	gà bantam
Bantam tube	(tech) đèn tí hon
Bantamweight	võ sĩ hạng gà (nặng từ 51 đến 53, 5 kg)
Banter	sự nói đùa, sự giễu cợt
Banterer	xem banter
Bantering	đùa bỡn
Banteringly	đùa, giễu cợt
Banting	(y học) phép chữa kiêng mỡ đường (để chữa bệnh béo phì)
Bantling	đứa trẻ, đứa bé, trẻ con
Bantu	nhóm các dân tộc da đen có liên quan nhau ở trung phi và nam phi|* tính từ
Banyan	nhà buôn người ân
Banzai	thán từ muôn năm!
Baobab	(thực vật học) cây baobap
Baobap	cây bao-báp
Bap	(ê-cốt) ổ bánh nhỏ
Baptise	(tôn giáo) rửa tội
Baptism	(tôn giáo) lễ rửa tội
Baptismal	(tôn giáo) (thuộc) lễ rửa tội
Baptismally	xem baptism
Baptist	(tôn giáo) người làm lễ rửa tội
Baptistery	(tôn giáo) nơi rửa tội (ở nhà thờ)
Baptistry	(tôn giáo) nơi rửa tội (ở nhà thờ)
Baptize	(tôn giáo) rửa tội
Baptizer	xem baptize
Bar	quán ba
Bar billiards	trò chơi trong nhà như trò chơi bida, nhằm đánh những quả tròn vào các lỗ trên bàn
Bar chart	(tech) biểu đồ thanh, biểu đồ dải
Bar code	(tech) mã thanh, mã dải
Bar graph	(tech) đồ thị thanh, đồ thị dải
Bar mitzvah	con trai do thái đến tuổi 13, đảm đương những trách nhiệm tôn giáo như người lớn
Barb	(động vật học) ngựa bác
Barbarian	dã man, man rợ
Barbarianism	xem barbarian
Barbaric	dã man, man rợ
Barbarically	man rợ, dã man
Barbarise	làm cho trở thành dã man (một dân tộc)
Barbarism	tình trạng dã man, tình trạng man rợ
Barbarity	tính chất dã man
Barbarization	xem barbarize
Barbarize	làm cho trở thành dã man (một dân tộc)
Barbarous	dã man, man rợ
Barbarously	dã man, man rợ
Barbarousness	sự dã man, sự man rợ
Barbate	(sinh vật học) có râu
Barbecue	lợn (bò, cừu) nướng (quay) cả con
Barbed	có ngạnh
Barbedness	xem barbed
Barbel	(động vật học) cá râu (loài cá to thuộc họ chép, ở châu âu)
Barbell	thanh tạ
Barber	thợ cạo, thợ cắt tóc
Barberry	(thực vật học) giống cây hoàng liên gai
Barbery	(thực vật học) giống cây hoàng liên gai
Barbet	(động vật học) cu rốc (chim)
Barbette	bệ pháo (trong pháo đài)
Barbican	thành ngoài, luỹ ngoài (của một toà lâu đài, một thành phố...)
Barbiturate	một loại thuốc an thần
Barbituric	(hoá học) bacbituric
Barbola	sự trang trí những vật nhỏ bằng cách gắn hoa, quả tượng trưng lên
Barbule	tơ lông (chim)
Barbwire	(từ mỹ) dây thép gai
Barcarole	bài hát đò đưa (của những người chèo thuyền thành vơ-ni-dơ)
Barcarolle	bài hát đò đưa (của những người chèo thuyền thành vơ-ni-dơ)
Barchan	đụn cát bị gió thổi thành hình lưỡi liềm
Barcode	mã vạch, sọc mã số
Bard	(thơ ca) thi sĩ, nhà thơ
Bardic	xem bard
Bardolatry	sự tôn sùng xếch-xpia
Bare	trần
Bare board	(tech) bảng trần (chưa gắn linh kiện)
Bare bones	cái dơn giản nhất hoặc quan trọng nhất của một vấn đề
Bare cable	(tech) cáp trần
Bare conductor	(tech) dây dẫn trần
Bareback	không có yên (ngựa)
Barebacked	ở trần
Barefaced	mày râu nhẵn nhụi
Barefacedly	xem barefaced
Barefacedness	xem barefaced
Barefoot	chân không
Barefooted	chân không
Barege	vải nhung
Barehanded	tay không (không có đeo găng)
Bareheaded	để đầu trần
Bareheadedness	xem bareheaded
Barelegged	để chân trần
Bareleggedness	xem barelegged
Barely	vừa đủ
Bareness	sự trần trụi, sự trần truồng, sự trơ trụi
Baresark	không có áo giáp
Barfly	(từ mỹ,nghĩa mỹ),  (từ lóng) người hay la cà ở các quán rượu
Bargain	sự mặc cả, sự thoả thuận mua bán
Bargain counter	quầy hàng hạ giá trong một cửa hàng
Bargain hunter	người chuyên săn lùng hàng hạ giá để mua
Bargainer	người mặc cả
Bargaining	sự mặc cả, sự thương lượng mua bán
Bargaining tariff	(econ) thuế quan mặc cả
